"","subj","RT","subj_mean_rt","normRT"
"2614","CCC01_18",3759,2112.69230769231,3307.97665454944
"2615","CCC01_18",4613,2112.69230769231,4161.97665454944
"2616","CCC01_18",3817,2112.69230769231,3365.97665454944
"2617","CCC01_18",2357,2112.69230769231,1905.97665454944
"2618","CCC01_18",2682,2112.69230769231,2230.97665454944
"2619","CCC01_18",1650,2112.69230769231,1198.97665454944
"2620","CCC01_18",2276,2112.69230769231,1824.97665454944
"2621","CCC01_18",2348,2112.69230769231,1896.97665454944
"2622","CCC01_18",1818,2112.69230769231,1366.97665454944
"2623","CCC01_18",780,2112.69230769231,328.97665454944
"2624","CCC01_18",4528,2112.69230769231,4076.97665454944
"2625","CCC01_18",927,2112.69230769231,475.97665454944
"2626","CCC01_18",1678,2112.69230769231,1226.97665454944
"2627","CCC01_18",941,2112.69230769231,489.97665454944
"2628","CCC01_18",898,2112.69230769231,446.97665454944
"2629","CCC01_18",2802,2112.69230769231,2350.97665454944
"2630","CCC01_18",1878,2112.69230769231,1426.97665454944
"2631","CCC01_18",1806,2112.69230769231,1354.97665454944
"2632","CCC01_18",2024,2112.69230769231,1572.97665454944
"2633","CCC01_18",1211,2112.69230769231,759.97665454944
"2634","CCC01_18",2406,2112.69230769231,1954.97665454944
"2635","CCC01_18",2168,2112.69230769231,1716.97665454944
"2636","CCC01_18",2270,2112.69230769231,1818.97665454944
"2637","CCC01_18",2374,2112.69230769231,1922.97665454944
"2638","CCC01_18",2076,2112.69230769231,1624.97665454944
"2639","CCC01_18",1468,2112.69230769231,1016.97665454944
"2640","CCC01_18",1851,2112.69230769231,1399.97665454944
"2641","CCC01_18",1509,2112.69230769231,1057.97665454944
"2642","CCC01_18",3581,2112.69230769231,3129.97665454944
"2643","CCC01_18",2360,2112.69230769231,1908.97665454944
"2644","CCC01_18",814,2112.69230769231,362.97665454944
"2645","CCC01_18",2353,2112.69230769231,1901.97665454944
"2646","CCC01_18",3927,2112.69230769231,3475.97665454944
"2647","CCC01_18",1829,2112.69230769231,1377.97665454944
"2648","CCC01_18",1656,2112.69230769231,1204.97665454944
"2649","CCC01_18",2192,2112.69230769231,1740.97665454944
"2650","CCC01_18",2252,2112.69230769231,1800.97665454944
"2651","CCC01_18",1142,2112.69230769231,690.97665454944
"2652","CCC01_18",1915,2112.69230769231,1463.97665454944
"2653","CCC01_18",1530,2112.69230769231,1078.97665454944
"2654","CCC01_18",2544,2112.69230769231,2092.97665454944
"2655","CCC01_18",1893,2112.69230769231,1441.97665454944
"2656","CCC01_18",3005,2112.69230769231,2553.97665454944
"2657","CCC01_18",1681,2112.69230769231,1229.97665454944
"2658","CCC01_18",1353,2112.69230769231,901.97665454944
"2659","CCC01_18",3398,2112.69230769231,2946.97665454944
"2660","CCC01_18",1354,2112.69230769231,902.97665454944
"2661","CCC01_18",1320,2112.69230769231,868.97665454944
"2662","CCC01_18",1903,2112.69230769231,1451.97665454944
"2663","CCC01_18",1590,2112.69230769231,1138.97665454944
"2664","CCC01_18",1938,2112.69230769231,1486.97665454944
"2665","CCC01_18",905,2112.69230769231,453.97665454944
